
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.820
  alpha =   -2.844    CLtot =    0.335
  beta  =    0.000

  Sref  =   112.89600
  Bref  =    34.09000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.167140         0.273132E-01
    0.0337  0.154797         0.245895E-01
    0.1012  0.130930         0.197548E-01
    0.1687  0.109076         0.156937E-01
    0.2361  0.898932E-01     0.123270E-01
    0.3036  0.738624E-01     0.955619E-02
    0.3742  0.603121E-01     0.718221E-02
    0.4478  0.484502E-01     0.517384E-02
    0.5214  0.380103E-01     0.357729E-02
    0.5950  0.288712E-01     0.234229E-02
    0.6687  0.209786E-01     0.142178E-02
    0.7423  0.142957E-01     0.770413E-03
    0.8159  0.877858E-02     0.344331E-03
    0.8896  0.434031E-02     0.102082E-03
    0.9632  0.791934E-03     0.731180E-05
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.167140        -0.273132E-01
   -0.0337  0.154797        -0.245895E-01
   -0.1012  0.130930        -0.197548E-01
   -0.1687  0.109076        -0.156937E-01
   -0.2361  0.898932E-01    -0.123270E-01
   -0.3036  0.738624E-01    -0.955619E-02
   -0.3742  0.603121E-01    -0.718221E-02
   -0.4478  0.484502E-01    -0.517384E-02
   -0.5214  0.380103E-01    -0.357730E-02
   -0.5950  0.288712E-01    -0.234229E-02
   -0.6687  0.209786E-01    -0.142178E-02
   -0.7423  0.142957E-01    -0.770413E-03
   -0.8159  0.877858E-02    -0.344331E-03
   -0.8896  0.434031E-02    -0.102082E-03
   -0.9632  0.791934E-03    -0.731180E-05
   -1.0000   0.00000          0.00000    
