
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.820
  alpha =    5.693    CLtot =    1.564
  beta  =    0.000

  Sref  =   113.07700
  Bref  =    34.09000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.776888         0.159433    
    0.0337  0.737705         0.146619    
    0.1012  0.660598         0.122959    
    0.1687  0.586529         0.101857    
    0.2361  0.516517         0.831924E-01
    0.3036  0.451461         0.668135E-01
    0.3742  0.388836         0.519459E-01
    0.4478  0.327817         0.387124E-01
    0.5214  0.270043         0.276725E-01
    0.5950  0.215583         0.187051E-01
    0.6687  0.164641         0.116841E-01
    0.7423  0.117515         0.647387E-02
    0.8159  0.746727E-01     0.292499E-02
    0.8896  0.369753E-01     0.863336E-03
    0.9632  0.651889E-02     0.601878E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.776888        -0.159433    
   -0.0337  0.737705        -0.146619    
   -0.1012  0.660598        -0.122959    
   -0.1687  0.586529        -0.101857    
   -0.2361  0.516517        -0.831924E-01
   -0.3036  0.451461        -0.668135E-01
   -0.3742  0.388836        -0.519459E-01
   -0.4478  0.327817        -0.387124E-01
   -0.5214  0.270043        -0.276725E-01
   -0.5950  0.215583        -0.187051E-01
   -0.6687  0.164641        -0.116841E-01
   -0.7423  0.117515        -0.647387E-02
   -0.8159  0.746727E-01    -0.292499E-02
   -0.8896  0.369753E-01    -0.863336E-03
   -0.9632  0.651889E-02    -0.601878E-04
   -1.0000   0.00000          0.00000    
